epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,7002.53,0.60228,0.42931,1.07276,0.96867,0.97158,0.98455,0.89513,0.47735,0.24164,0.98217,0.004357,0.004357,0.004357
116,7063.26,0.60055,0.43148,1.06977,0.9689,0.97156,0.98458,0.89556,0.47718,0.24146,0.98205,0.0043075,0.0043075,0.0043075
117,7123.89,0.59219,0.42137,1.06544,0.96997,0.97167,0.98476,0.89641,0.47644,0.24124,0.98154,0.004258,0.004258,0.004258
118,7184.74,0.59901,0.43421,1.06689,0.96925,0.97205,0.98479,0.89628,0.47608,0.24107,0.98123,0.0042085,0.0042085,0.0042085
119,7245.53,0.59539,0.4282,1.06595,0.96943,0.97301,0.98479,0.89615,0.47592,0.2413,0.98139,0.004159,0.004159,0.004159
120,7306.09,0.59593,0.42555,1.0647,0.96954,0.97187,0.9847,0.89652,0.47521,0.24138,0.98105,0.0041095,0.0041095,0.0041095
121,7367.06,0.58631,0.42149,1.06072,0.96874,0.97385,0.98462,0.89684,0.47467,0.24136,0.98086,0.00406,0.00406,0.00406
122,7427.82,0.59149,0.41639,1.06143,0.9687,0.97295,0.98468,0.89687,0.47451,0.24114,0.98122,0.0040105,0.0040105,0.0040105
123,7488.63,0.58892,0.42397,1.06565,0.9682,0.97504,0.98482,0.89748,0.47359,0.24046,0.9808,0.003961,0.003961,0.003961
124,7549.51,0.57945,0.41214,1.05363,0.96896,0.97357,0.98485,0.89752,0.4731,0.24026,0.98054,0.0039115,0.0039115,0.0039115
125,7610.51,0.57921,0.41146,1.05829,0.9691,0.97418,0.98495,0.89699,0.47284,0.24042,0.98083,0.003862,0.003862,0.003862
126,7671.13,0.58575,0.41431,1.06116,0.96954,0.9741,0.98478,0.89699,0.47271,0.24041,0.98087,0.0038125,0.0038125,0.0038125
127,7731.7,0.58097,0.41191,1.05735,0.96968,0.97291,0.98465,0.89674,0.47265,0.24066,0.98072,0.003763,0.003763,0.003763
128,7792.42,0.57819,0.40628,1.05791,0.96997,0.97174,0.98454,0.89688,0.47266,0.24061,0.9807,0.0037135,0.0037135,0.0037135
129,7853.12,0.57386,0.40714,1.05333,0.96784,0.97561,0.98459,0.897,0.47246,0.24111,0.98089,0.003664,0.003664,0.003664
130,7913.79,0.57462,0.41325,1.05647,0.96737,0.97576,0.98457,0.89695,0.47223,0.24118,0.98083,0.0036145,0.0036145,0.0036145
131,7974.39,0.569,0.40505,1.05119,0.96753,0.97624,0.98462,0.89752,0.47198,0.24104,0.98076,0.003565,0.003565,0.003565
132,8035.1,0.57186,0.40393,1.05373,0.96796,0.97652,0.98466,0.89739,0.47204,0.24092,0.98097,0.0035155,0.0035155,0.0035155
