epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,10775.2,0.69203,0.51605,1.12016,0.96755,0.96964,0.98133,0.8787,0.49991,0.26291,0.99868,0.006535,0.006535,0.006535
72,10927,0.68564,0.50993,1.11178,0.96806,0.96936,0.98135,0.87926,0.4992,0.26175,0.99812,0.0064855,0.0064855,0.0064855
73,11078.6,0.68376,0.5119,1.11683,0.96848,0.96977,0.9812,0.87895,0.4988,0.26133,0.99796,0.006436,0.006436,0.006436
74,11230.2,0.68563,0.50719,1.11258,0.96854,0.96935,0.98121,0.87893,0.49835,0.26072,0.99781,0.0063865,0.0063865,0.0063865
75,11381.7,0.6843,0.50599,1.11483,0.96834,0.96935,0.981,0.87924,0.49827,0.26046,0.99785,0.006337,0.006337,0.006337
76,11533.2,0.68403,0.50818,1.11308,0.97082,0.96823,0.98073,0.87943,0.4977,0.2601,0.99769,0.0062875,0.0062875,0.0062875
77,11684.9,0.68004,0.50985,1.1137,0.97196,0.96861,0.98106,0.8791,0.49725,0.2601,0.99751,0.006238,0.006238,0.006238
78,11836.7,0.67437,0.50057,1.11068,0.97175,0.96878,0.98106,0.87937,0.49681,0.26011,0.99712,0.0061885,0.0061885,0.0061885
79,11988.2,0.67622,0.49804,1.10731,0.96874,0.9696,0.98099,0.88015,0.49635,0.25948,0.99666,0.006139,0.006139,0.006139
80,12139.9,0.67722,0.50022,1.11224,0.96923,0.96988,0.98113,0.88061,0.49597,0.25901,0.99642,0.0060895,0.0060895,0.0060895
81,12291.4,0.6738,0.49991,1.10889,0.9688,0.96933,0.98111,0.88038,0.49574,0.25821,0.99637,0.00604,0.00604,0.00604
82,12443,0.66728,0.49535,1.10539,0.96858,0.96961,0.98119,0.8808,0.49539,0.25797,0.99625,0.0059905,0.0059905,0.0059905
83,12594.7,0.66424,0.4944,1.1035,0.9684,0.96977,0.98116,0.88034,0.49525,0.25784,0.99643,0.005941,0.005941,0.005941
84,12746.3,0.65925,0.48615,1.10461,0.96673,0.97161,0.98116,0.88086,0.4951,0.25799,0.99634,0.0058915,0.0058915,0.0058915
85,12898,0.6696,0.48942,1.10759,0.96729,0.96959,0.98087,0.88126,0.49483,0.25807,0.99625,0.005842,0.005842,0.005842
